rok,tfr,ludnosc,urodzenia,zgony,zrodlo
1946,,23640.0,622.5,241.8,RD2024
1947,,23754.0,681.2,258.4,RD2024
1948,,24211.0,704.8,267.3,RD2024
1949,,24613.0,725.1,280.5,RD2024
1950,3.705,25035.0,763.1,288.7,RD2024
1951,,25507.0,783.6,312.3,RD2024
1952,,25999.0,779.0,286.7,RD2024
1953,,26511.0,779.0,266.5,RD2024
1954,,27012.0,778.1,276.4,RD2024
1955,3.605,27550.0,793.8,261.6,RD2024
1956,,28080.0,779.8,249.6,RD2024
1957,,28540.0,782.3,269.1,RD2024
1958,,29000.0,755.5,241.4,RD2024
1959,,29480.0,722.9,252.4,RD2024
1960,2.98,29795.0,669.5,224.2,RD2024
1961,,30133.0,627.6,227.7,RD2024
1962,,30484.0,599.5,239.2,RD2024
1963,,30940.0,589.3,231.2,RD2024
1964,,31339.0,563.9,237.0,RD2024
1965,2.52,31551.0,547.4,233.4,RD2024
1966,2.34,31811.0,531.3,233.9,RD2024
1967,2.325,32163.0,521.8,249.1,RD2024
1968,2.24,32426.0,525.8,245.7,RD2024
1969,2.2,32671.0,532.8,264.5,RD2024
1970,2.2,32658.0,547.8,268.6,RD2024
1971,2.25,32909.0,564.4,285.8,RD2024
1972,2.235,33202.0,577.9,267.4,RD2024
1973,2.255,33512.0,600.9,279.5,RD2024
1974,2.26,33846.0,623.7,279.7,RD2024
1975,2.27,34185.0,646.4,299.5,RD2024
1976,2.302,34528.0,672.8,306.8,RD2024
1977,2.23,34850.0,665.2,315.6,RD2024
1978,2.205,35081.0,669.3,328.1,RD2024
1979,2.28,35414.0,691.3,326.0,RD2024
1980,2.276,35735.0,695.8,353.2,RD2024
1981,2.235,36062.0,681.7,331.9,RD2024
1982,2.336,36399.0,705.4,337.9,RD2024
1983,2.416,36745.0,723.6,352.2,RD2024
1984,2.372,37063.0,701.7,367.6,RD2024
1985,2.329,37341.0,680.1,384.0,RD2024
1986,2.217,37572.0,637.2,378.8,RD2024
1987,2.154,37764.0,607.8,380.7,RD2024
1988,2.126,37885.0,589.9,373.0,RD2024
1989,2.066,37988.0,564.4,383.1,RD2024
1990,1.991,38073.0,547.7,390.3,RD2024
1991,1.978,38144.0,547.7,405.7,RD2024
1992,1.85,38203.0,515.2,394.7,RD2024
1993,1.766,38239.0,494.3,392.3,RD2024
1994,1.72,38265.0,481.3,386.4,RD2024
1995,1.545,38284.0,433.1,386.1,RD2024
1996,1.525,38294.0,428.2,385.5,RD2024
1997,1.468,38290.0,412.7,380.2,RD2024
1998,1.407,38277.0,395.6,375.3,RD2024
1999,1.373,38263.0,382.0,381.4,RD2024
2000,1.367,38254.0,378.3,368.0,RD2024
2001,1.315,38242.0,368.2,363.2,RD2024
2002,1.249,38219.0,353.8,359.5,RD2024
2003,1.222,38191.0,351.1,365.2,RD2024
2004,1.227,38174.0,356.1,363.5,RD2024
2005,1.243,38157.0,364.4,368.3,RD2024
2006,1.267,38125.0,374.2,369.7,RD2024
2007,1.306,38116.0,387.9,377.2,RD2024
2008,1.39,38136.0,414.5,379.4,RD2024
2009,1.398,38167.0,417.6,384.9,RD2024
2010,1.376,38530.0,413.3,378.5,RD2024
2011,1.297,38538.0,388.4,375.5,RD2024
2012,1.299,38533.0,386.3,384.8,RD2024
2013,1.256,38496.0,369.6,387.3,RD2024
2014,1.29,38479.0,375.2,376.5,RD2024
2015,1.289,38437.0,369.3,394.9,RD2024
2016,1.357,38433.0,382.3,388.0,RD2024
2017,1.453,38434.0,402.0,402.9,RD2024
2018,1.435,38411.0,388.2,414.2,RD2024
2019,1.419,38383.0,375.0,409.7,RD2024
2020,1.387,38089.0,355.3,477.4,RD2024
2021,1.33,37908.0,331.5,519.5,RD2024
2022,1.261,37766.0,305.1,448.4,RD2024
2023,1.158,37637.0,272.5,409.0,RD2024
2024,1.099,37489.0,251.8,408.5,RD2024
