rok,grupa_wieku,urodzenia,kobiety,asfr
2002,15-19,24331,1580493,0.015394563595030159
2002,20-24,106462,1571971,0.06772516795793307
2002,25-29,127101,1449007,0.08771593235919495
2002,30-34,63009,1233117,0.05109734112821411
2002,35-39,25795,1196938,0.02155082385219619
2002,40-44,6743,1414094,0.004768424164164476
2002,45-49,324,1585018,0.0002044140823637334
2003,15-19,22514,1518380,0.014827645253493855
2003,20-24,101915,1606472,0.06344025915173125
2003,25-29,128978,1480415,0.08712286757429505
2003,30-34,66158,1269749,0.052103210949565625
2003,35-39,24782,1178523,0.021028015575427886
2003,40-44,6406,1348578,0.004750188717300742
2003,45-49,319,1582558,0.0002015723910276906
2004,15-19,20502,1456524,0.014075978150720482
2004,20-24,98392,1625645,0.06052489934764355
2004,25-29,133134,1509018,0.08822558776634871
2004,30-34,71678,1314171,0.05454236929592876
2004,35-39,25723,1170096,0.02198366629746619
2004,40-44,6338,1290347,0.004911857043105459
2004,45-49,364,1564958,0.000232594101566943
2005,15-19,19295,1402020,0.013762285844709775
2005,20-24,95533,1629090,0.0586419412064404
2005,25-29,137307,1531961,0.0896282607716515
2005,30-34,79152,1359571,0.05821836446938042
2005,35-39,26654,1177496,0.022636170313954356
2005,40-44,6116,1243114,0.0049199027603260845
2005,45-49,326,1522049,0.00021418495725170476
2006,15-19,19230,1362057,0.014118351875141788
2006,20-24,93569,1614680,0.057948943443902196
2006,25-29,139853,1537546,0.09095857945063107
2006,30-34,86825,1406445,0.06173366182111636
2006,35-39,28487,1195108,0.023836339477269
2006,40-44,5975,1210022,0.004937926748439285
2006,45-49,305,1464131,0.00020831469315245698
2007,15-19,19866,1324231,0.015001914318574327
2007,20-24,92745,1573121,0.058956049788922785
2007,25-29,142112,1561734,0.09099629002122
2007,30-34,95307,1440417,0.06616625602169372
2007,35-39,31290,1225504,0.025532352403582526
2007,40-44,6244,1186026,0.0052646400669125295
2007,45-49,309,1395501,0.00022142585351067465
2008,15-19,21207,1280845,0.016557038517541155
2008,20-24,94099,1512076,0.06223166031337049
2008,25-29,151894,1595878,0.0951789547822578
2008,30-34,105477,1470820,0.07171305802205573
2008,35-39,35069,1261342,0.027802927358321534
2008,40-44,6438,1167740,0.0055132135578125265
2008,45-49,315,1331060,0.000236653494207624
2009,15-19,20514,1236942,0.01658444777523926
2009,20-24,87080,1451230,0.06000427223803256
2009,25-29,154089,1615482,0.09538267835853324
2009,30-34,110485,1498293,0.07374058345063349
2009,35-39,38386,1305048,0.02941347751193826
2009,40-44,6714,1159444,0.005790706580050438
2009,45-49,321,1273995,0.0002519633122578974
2010,15-19,18456,1185934,0.015562417470112165
2010,20-24,79834,1398424,0.057088551111823024
2010,25-29,152711,1610901,0.0947985009631256
2010,30-34,113369,1543444,0.07345196845496176
2010,35-39,41500,1363726,0.030431332980378756
2010,40-44,7136,1176598,0.0060649431666550515
2010,45-49,294,1235301,0.00023799867400738767
2011,15-19,16142,1131961,0.014260208611427426
2011,20-24,70754,1360639,0.05200056738047344
2011,25-29,142865,1596139,0.08950661565189498
2011,30-34,109558,1548669,0.07074332862606535
2011,35-39,41587,1413346,0.029424500440797936
2011,40-44,7176,1194970,0.006005171677950074
2011,45-49,334,1204055,0.00027739596613111526
2012,15-19,15704,1084545,0.014479804895140358
2012,20-24,68102,1322120,0.051509696547968414
2012,25-29,140506,1554871,0.0903650527921609
2012,30-34,110379,1568222,0.07038480521252731
2012,35-39,43774,1452137,0.030144538703992804
2012,40-44,7487,1224444,0.006114612019822874
2012,45-49,305,1181935,0.00025805141568698784
2013,15-19,14492,1037626,0.013966496598967258
2013,20-24,62949,1278777,0.049225940097452486
2013,25-29,130958,1496695,0.08749812085962738
2013,30-34,109789,1595440,0.06881424559995988
