rok,tfr,urodzenia_zywe,zgony,ludnosc_przedprodukcyjna,ludnosc_produkcyjna,ludnosc_poprodukcyjna,zrodlo_tfr
1989,2.066,564400,383100,,,,RD2025
1990,1.991,547700,390300,,,,RD2025
1991,1.978,547700,405700,,,,RD2025
1992,1.85,515200,394700,,,,RD2025
1993,1.766,494300,392300,,,,RD2025
1994,1.72,481300,386400,,,,RD2025
1995,1.545,433109,386084,10644803,22647417,5317179,RD2025
1996,1.525,428203,385496,10417517,22819984,5401840,RD2025
1997,1.468,412635,380201,10165538,23013973,5480468,RD2025
1998,1.407,395619,375354,9888636,23226339,5552008,RD2025
1999,1.373,382002,381415,9630053,23041088,5592162,RD2025
2000,1.367,378348,368028,9332905,23261003,5660047,RD2025
2001,1.315,368205,363220,8996155,23526497,5719545,RD2025
2002,1.249,353765,359486,8663685,23789807,5765039,BDL
2003,1.222,351072,365230,8349808,24038777,5802023,BDL
2004,1.227,356131,363522,8087067,24239587,5847181,BDL
2005,1.243,364383,368285,7863799,24405034,5888222,BDL
2006,1.267,374244,369686,7660567,24481670,5983242,BDL
2007,1.306,387873,377226,7487930,24545254,6082457,BDL
2008,1.39,414499,379399,7349669,24590475,6195732,BDL
2009,1.398,417589,384940,7231271,24624443,6311615,BDL
2010,1.376,413300,378478,7243239,24831001,6455626,BDL
2011,1.297,388416,375501,7146551,24738527,6653369,BDL
2012,1.299,386257,384788,7066768,24605558,6860973,BDL
2013,1.256,369576,387312,6995362,24422146,7078151,BDL
2014,1.29,375160,376467,6942996,24230162,7305444,BDL
2015,1.289,369308,394921,6901795,24002168,7533276,BDL
2016,1.357,382257,388009,6895878,23767614,7769500,BDL
2017,1.453,401982,402852,6920652,23517643,7995263,BDL
2018,1.435,388178,414200,6935523,23269725,8205900,BDL
2019,1.419,374954,409709,6948706,23025927,8407943,BDL
2020,1.387,355309,477355,6997537,22631307,8459720,BDL
2021,1.33,331511,519517,6992641,22385400,8529663,BDL
2022,1.261,305132,448448,6950826,22169304,8646197,BDL
2023,1.158,272451,409036,6864881,21985460,8786167,BDL
2024,1.099,251782,408504,6744961,21834117,8910009,BDL
2025,1.068,238264,405747,6591318,21727356,9013836,BDL
