scenariusz,rok,ludnosc,udzial_65,dr_ekonomiczny,oadr
główny,2022,37766327,19.47092975178656,70.35413921880452,29.895948371879495
główny,2023,37650773,20.029572832409045,71.31917836735947,30.893515105268456
główny,2024,37532044,20.534146768025742,72.03267700306887,31.777091611790542
główny,2025,37412189,20.949530646282152,72.40328653970859,32.48510620202131
główny,2026,37288794,21.28414772545339,72.39475431427319,33.05915532100813
główny,2027,37254771,21.522942658807377,72.28614928308544,33.46092457264968
główny,2028,37252993,21.726299951254923,72.18802568016201,33.8226108564616
główny,2029,37172231,21.92875644187189,72.19635005486373,34.14541254985311
główny,2030,37049551,22.11617625271626,72.16482111951241,34.42479529836595
główny,2031,36906903,22.286611260771462,72.28093849502515,34.648122624214814
główny,2032,36750047,22.446074694816037,72.36567196870612,34.81753547971057
główny,2033,36581214,22.60746731915458,72.52263966159143,35.011909005545114
główny,2034,36405733,22.783543460036913,72.68653090203688,35.25856321918967
główny,2035,36223944,22.99151080843102,72.83550675845896,35.60766340805895
główny,2036,36036856,23.22724823719361,73.23434334946579,36.03881755881688
główny,2037,35847455,23.507244796039217,73.82999741927775,36.61968629895791
główny,2038,35654059,23.82644287428817,74.71400026039959,37.28802518965876
główny,2039,35457605,24.190849889607602,75.87388464939386,38.071229606083875
główny,2040,35258862,24.600655006959666,77.44162090452552,38.97215874816224
główny,2041,35058188,25.055319459180264,79.03793543168196,39.99541124246507
główny,2042,34855960,25.50078379708951,80.81523090981197,41.02469722364507
główny,2043,34654531,25.959110512850398,82.78948922213118,42.10879102613593
główny,2044,34451798,26.460627686253126,84.83265657888907,43.3190529357403
główny,2045,34245295,26.968758774015527,86.8752597513721,44.573877956354764
główny,2046,34037787,27.449927928628266,88.78809244296026,45.79098368288315
główny,2047,33829362,28.00540252577036,90.76541512871016,47.21764230184467
główny,2048,33619626,28.62102630172031,92.85984967778509,48.827707587538434
główny,2049,33410504,29.197257844419227,94.86118959649411,50.370793901401015
główny,2050,33199662,29.731573773251064,96.81006757767734,51.831442589489065
główny,2051,32986858,30.18176511385231,98.56397902569779,53.086339705958885
główny,2052,32769153,30.56791245107861,100.05631880509627,54.175864905804104
główny,2053,32549146,30.939094377468457,101.39860304283839,55.22467436457338
główny,2054,32326537,31.27922424848662,102.56661790677704,56.182775699123845
główny,2055,32100957,31.617372030372803,103.52985700329798,57.12847096494828
główny,2056,31872540,31.930743517774236,104.3203613598741,57.995820163783385
główny,2057,31641340,32.169342385625896,104.806323820038,58.637946385982765
główny,2058,31404722,32.356360295117405,105.01403286311665,59.119958752157345
główny,2059,31165365,32.49420630883033,104.99189711020391,59.4481450151483
główny,2060,30925606,32.56231098591892,104.76637789379544,59.5635751067935
niski,2022,37766327,19.47092975178656,70.35413921880452,29.895948371879495
niski,2023,37614421,20.016572898995307,71.22821432830983,30.8564605280581
niski,2024,37448393,20.509803985447387,71.81889923822922,31.698692810349616
niski,2025,37269044,20.9143652839606,72.0299617688568,32.35843787458603
niski,2026,37078244,21.24357075809739,71.84107044074966,32.88757942941507
niski,2027,36915016,21.507204547872877,71.50408482923329,33.28422483659079
niski,2028,36754438,21.74401088652206,71.14512811913913,33.64844098864804
niski,2029,36553990,21.965473536541428,70.90965724454881,33.95254610150645
niski,2030,36328718,22.163306175571623,70.63496436149154,34.198172109506935
niski,2031,36088649,22.344776608290324,70.50837020023884,34.38761188866775
niski,2032,35834759,22.51245222550541,70.33940574701022,34.516105624563004
niski,2033,35568590,22.681891522829552,70.23722734639945,34.66736044682215
niski,2034,35294428,22.866685925608426,70.13619166124884,34.86986577116834
